Unnamed: 0,Dates,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,Delhi,DNH,DVC,Essar steel,Goa,Gujarat,Haryana,HP,J&K,Jharkhand,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Mizoram,MP,Nagaland,Odisha,Pondy,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption,year,month,day,day_of_week,quarter,total_consumption,daily_growth_rate,rolling_7_day_avg,rolling_30_day_avg
0,2013-01-06,251.5,1.6,21.3,40.9,3.8,60.3,5.8,66.0,15.0,56.2,7.8,8.6,238.7,100.4,24.9,39.6,18.9,176.6,57.8,362.5,1.5,5.4,1.0,164.1,1.6,68.6,5.6,95.2,192.0,1.7,254.5,127.6,2.6,225.0,33.6,107.5,2845.7,2013,1,6,6,1,5691.4,,,
1,2013-01-07,257.9,1.7,21.2,39.6,3.8,64.3,5.8,67.2,15.1,59.9,7.8,7.9,232.9,110.0,25.7,40.6,20.8,179.7,58.6,365.9,1.6,5.3,1.2,170.8,1.6,62.8,5.5,92.8,192.9,1.8,262.3,129.2,2.6,219.1,34.2,106.6,2876.699999999999,2013,1,7,0,1,5753.399999999998,1.089362898408086,,
2,2013-01-08,265.1,1.6,20.4,39.2,3.9,63.0,5.9,66.7,15.2,60.3,7.9,7.6,242.6,110.0,25.8,40.4,22.6,181.5,58.7,365.0,1.6,4.8,1.3,179.1,1.6,65.5,5.8,93.9,197.1,1.8,256.6,131.9,2.1,238.7,33.9,103.9,2922.9999999999995,2013,1,8,1,1,5845.999999999999,1.6094830882608768,,
3,2013-01-09,261.0,1.6,21.4,39.5,3.7,65.0,5.8,67.4,15.2,60.0,8.0,7.9,244.3,107.4,25.6,37.8,22.0,182.4,59.6,366.3,1.6,5.1,1.0,178.9,1.6,66.7,5.9,90.1,197.6,1.9,254.6,135.0,2.7,229.1,32.7,105.7,2912.099999999999,2013,1,9,2,1,5824.199999999998,-0.372904550119757,,
4,2013-01-10,260.0,1.6,21.1,39.7,3.8,66.5,5.9,67.8,14.9,58.9,8.0,7.8,244.8,112.9,26.0,41.2,22.3,184.9,60.3,359.5,1.6,5.4,1.0,176.4,1.6,72.0,5.9,93.5,199.9,1.9,255.3,130.0,3.2,224.5,35.4,105.3,2920.8,2013,1,10,3,1,5841.6,0.2987534768724043,,
5,2013-01-11,254.5,1.5,20.9,34.3,3.6,64.3,5.8,65.8,14.7,57.5,8.2,7.5,240.7,113.7,25.0,41.5,21.5,183.6,59.5,355.6,1.6,4.9,1.0,169.9,1.6,68.0,5.9,96.1,197.5,2.0,256.3,132.0,2.7,222.9,33.4,107.4,2882.9000000000005,2013,1,11,4,1,5765.800000000001,-1.2975897014516402,,
6,2013-01-12,257.4,1.6,20.2,39.9,3.4,65.1,5.8,61.7,14.8,55.6,8.4,6.7,235.9,108.4,23.9,42.0,21.1,175.4,54.7,352.2,1.7,5.1,1.0,170.8,1.5,70.3,5.8,95.5,195.4,1.5,248.8,130.9,3.0,222.6,32.4,97.8,2838.3,2013,1,12,5,1,5676.6,-1.5470533143709608,5771.285714285715,
7,2013-07-15,221.1,1.2,24.8,45.0,5.9,63.8,6.0,102.4,13.3,61.2,11.2,6.8,195.1,170.0,24.7,29.9,22.6,141.9,53.5,304.7,1.3,4.1,1.0,102.6,1.4,74.8,6.2,194.7,142.8,1.3,250.4,118.6,3.0,242.5,35.0,135.7,2820.4999999999995,2013,7,15,0,3,5640.999999999999,-0.6271359616672134,5764.085714285713,
8,2013-07-16,221.3,1.1,24.7,43.5,5.7,63.9,6.2,103.7,14.4,61.2,11.3,7.1,198.1,168.0,24.2,31.5,22.6,141.1,53.0,305.5,1.3,4.7,1.0,110.8,1.5,74.8,6.1,190.9,146.3,1.3,249.2,115.9,3.0,246.6,34.2,135.7,2831.399999999999,2013,7,16,1,3,5662.799999999998,0.38645630207407855,5751.142857142857,
9,2013-07-17,211.8,1.3,25.4,43.9,6.0,65.2,5.9,103.9,14.2,61.2,11.0,7.3,197.8,171.6,24.9,31.1,22.6,141.4,53.1,307.2,1.3,4.4,1.0,114.9,1.6,74.8,6.0,194.4,152.0,1.3,251.6,124.7,3.0,248.8,33.4,135.7,2855.7,2013,7,17,2,3,5711.4,0.8582326764145165,5731.914285714285,
