FeatureType,irradiation,AC_POWER,module_temperature,humidity,tariff_per_kwh,subsidy_percent,installation_cost,maintenance_cost,annual_generation,degradation_rate,payback_period,roi
Residential,0.05,-3.44,-7.19,-22.86,-1.39,-11.04,-320039.48,-1975.88,-4494.49,0.07,17.95,5.57
Residential,-0.15,-1.95,-13.22,30.86,-1.33,8.96,-100103.84,-3633.92,-3063.87,0.17,19.88,5.03
Residential,0.77,-4.35,-6.72,-17.21,1.02,8.96,-337330.52,1733.78,-4404.25,0.16,12.42,8.05
Residential,-1.0,-0.37,-10.31,-26.04,-1.36,-11.04,82191.16,-1565.65,-1298.01,-0.04,20.58,4.86
Residential,-0.13,3.38,-9.46,-17.63,-1.22,8.96,192871.61,460.9,7566.8,-0.1,8.36,11.96
Residential,0.64,4.3,-8.26,-21.9,0.75,8.96,343344.53,163.28,8189.26,0.07,7.22,13.85
Residential,-0.24,2.3,-9.5,26.78,1.93,8.96,-23200.3,4593.61,1167.05,0.02,7.3,13.7
Residential,-0.96,2.71,6.62,-18.72,1.09,-1.04,729729.59,4083.42,1394.56,0.2,21.1,4.74
Residential,0.68,-2.28,12.64,3.21,-1.13,8.96,-45063.08,-672.6,-1739.85,-0.15,17.33,5.77
Residential,0.38,1.47,-7.32,22.97,-0.61,-1.04,199854.05,1050.99,6398.24,0.01,8.41,11.89
Residential,-1.05,-4.04,-14.76,-17.72,0.69,8.96,-279342.29,1912.01,-4143.58,0.19,16.18,6.18
Residential,0.87,-4.17,3.85,-16.54,-0.37,-11.04,-398701.56,931.61,-5418.87,0.14,25.0,1.29
Residential,-1.09,0.93,-18.19,8.25,-0.63,-1.04,27189.69,1349.79,-3345.32,-0.03,25.0,2.86
Residential,-0.67,-1.54,-15.96,3.59,0.81,-1.04,52116.66,-2077.65,-1954.53,-0.2,15.48,6.46
Residential,-1.1,4.92,-16.61,-2.58,1.11,-1.04,1150927.68,-474.51,4282.57,0.01,18.9,5.29
Residential,-0.66,1.29,-15.25,-17.63,-2.12,-1.04,257735.36,4008.83,-413.47,-0.14,25.0,2.98
Residential,0.2,1.85,8.21,-20.19,0.22,-1.04,-18871.87,-1711.34,-244.8,0.14,10.37,9.64
Residential,-0.96,0.55,-4.41,23.88,1.05,-1.04,126440.5,2461.78,-2347.81,0.16,22.08,4.53
Residential,-0.71,-2.28,7.35,27.61,0.9,-11.04,-88438.45,659.29,-1230.33,0.19,10.19,9.81
Residential,0.36,-1.24,13.09,-24.18,1.49,8.96,-92808.93,-922.07,-1406.89,-0.13,9.27,10.79
Residential,-1.01,-2.74,-8.9,25.66,1.72,8.96,-334794.44,-3356.82,-5192.36,-0.07,13.18,7.59
Residential,-0.5,-3.11,-11.84,-16.11,0.88,-11.04,-330593.72,-2185.16,-3877.25,-0.17,7.45,13.42
Residential,0.77,-1.06,0.9,-8.16,-0.45,-1.04,-262223.99,-1885.75,-2842.18,0.07,9.59,10.43
Residential,0.61,-3.04,-8.48,14.6,1.04,-1.04,-334919.98,1692.8,-1664.02,0.09,3.98,25.15
Residential,-0.82,1.14,-7.38,-8.34,0.24,8.96,102419.64,528.82,-2905.87,-0.04,25.0,3.71
Residential,-0.62,3.86,-2.49,-15.87,1.41,-1.04,151527.02,-2060.68,311.04,-0.02,11.05,9.05
Residential,0.69,1.25,-8.2,-11.68,1.63,-1.04,227935.57,-2735.61,2448.58,0.17,9.0,11.11
Residential,-0.06,-2.44,-4.48,27.33,1.76,8.96,-211907.64,-911.03,-2159.84,0.13,7.29,13.71
Residential,0.34,-3.17,2.52,-0.07,1.47,-1.04,-265477.61,124.71,-4909.78,-0.09,23.26,4.3
Residential,0.48,3.19,0.79,-20.06,2.53,8.96,78873.63,625.97,-429.82,0.05,10.13,9.87
Residential,-1.05,-2.72,-9.21,-22.59,-1.26,-1.04,-107906.88,1917.46,-3353.17,-0.15,25.0,3.18
Residential,-0.82,0.2,-3.2,-13.28,-1.95,-1.04,-108341.56,-1664.45,-1825.3,0.14,17.21,5.81
Residential,-0.62,0.21,-4.99,20.72,1.43,8.96,6901.86,1623.68,-2673.85,-0.13,17.86,5.6
Residential,-0.46,1.03,7.56,-19.1,-0.3,-1.04,477383.26,-2734.5,3852.04,0.11,13.61,7.35
Residential,-0.19,0.36,-3.69,-11.98,-0.3,-1.04,265413.94,3599.26,-204.37,-0.08,21.01,4.76
Residential,0.89,-4.84,5.16,24.31,1.22,-1.04,-364295.97,1700.41,-5218.01,-0.14,25.0,3.93
Residential,0.78,0.27,2.74,10.81,2.09,-1.04,131665.49,-762.76,740.22,-0.14,9.43,10.6
Residential,0.68,3.99,1.94,24.9,2.35,8.96,738393.57,-1363.67,6580.04,-0.11,9.87,10.13
Residential,0.34,2.73,5.7,-30.7,-0.56,-1.04,294349.32,-2299.94,2108.39,0.01,13.97,7.16
Residential,-0.51,-3.74,-11.55,22.94,-1.24,8.96,-279466.59,1422.0,-3854.99,0.1,20.92,4.78
Residential,0.91,-2.01,14.82,-12.61,-2.58,-11.04,-142778.33,-2069.04,929.21,-0.13,10.44,9.58
Residential,-0.4,1.15,-9.97,22.22,-2.31,8.96,33949.35,-4156.97,-1455.65,0.1,21.41,4.67
Residential,0.11,2.29,3.99,-23.18,0.57,8.96,96959.11,-1686.9,1422.51,0.15,9.64,10.37
Residential,0.6,-0.34,0.59,-26.5,-1.37,-1.04,-118309.98,-2266.9,2529.55,-0.19,6.99,14.3
Residential,0.51,2.72,9.01,-5.98,-2.36,-1.04,315790.11,-378.0,10075.6,0.03,10.32,9.69
Residential,-0.88,-3.05,-0.01,3.47,0.29,8.96,-199893.15,2624.91,-2151.86,0.12,10.73,9.32
Residential,0.76,0.61,4.03,3.18,0.02,-11.04,29605.98,1866.44,-511.08,0.02,13.64,7.33
Residential,0.97,0.54,1.15,-32.66,-1.6,-1.04,-24373.27,-3645.02,-285.51,-0.17,13.33,7.5
Residential,0.64,-0.25,16.12,-27.36,2.08,8.96,-103346.76,2591.28,-57.66,0.09,6.92,14.45
Residential,0.98,2.95,8.48,25.13,-2.15,-11.04,290665.25,3006.31,2038.26,0.15,21.69,4.61
Residential,0.5,-3.82,11.29,25.53,1.79,-11.04,-340867.48,-1851.92,-3582.48,0.02,5.44,18.37
Residential,-1.04,1.84,-15.39,-21.66,-2.05,-1.04,62896.29,607.4,-2847.77,0.07,25.0,2.41
