city,date,irradiance,temperature,humidity,wind_speed
Delhi,20200101,2.8546,10.65,48.65,1.54
Delhi,20200102,3.0194,12.48,72.65,1.48
Delhi,20200103,3.0859,14.64,74.02,1.14
Delhi,20200104,2.5205,13.88,66.9,1.38
Delhi,20200105,2.9916,12.81,54.56,1.61
Delhi,20200106,1.5031,13.7,55.23,1.5
Delhi,20200107,1.6507,14.59,75.14,2.0
Delhi,20200108,0.6134,13.18,86.74,1.79
Delhi,20200109,2.9129,9.67,67.72,2.59
Delhi,20200110,3.786,8.99,55.02,2.1
Delhi,20200111,3.7214,10.4,43.57,1.54
Delhi,20200112,3.695,13.13,38.27,1.22
Delhi,20200113,2.2711,14.82,57.85,2.15
Delhi,20200114,2.2894,14.25,70.79,1.43
Delhi,20200115,2.5512,13.32,67.25,1.33
Delhi,20200116,1.2043,12.64,81.97,1.96
Delhi,20200117,2.3383,12.85,76.27,1.57
Delhi,20200118,1.6865,12.95,67.51,1.3
Delhi,20200119,3.1397,11.06,66.46,1.92
Delhi,20200120,2.2138,11.01,67.55,1.42
Delhi,20200121,2.4365,13.13,50.6,1.18
Delhi,20200122,2.647,12.91,51.7,2.05
Delhi,20200123,4.1803,11.36,58.68,3.52
Delhi,20200124,4.5626,11.46,48.89,2.95
Delhi,20200125,3.8746,11.77,47.91,1.42
Delhi,20200126,4.032,14.12,54.88,1.62
Delhi,20200127,2.5303,15.98,58.08,1.66
Delhi,20200128,2.387,14.23,74.55,1.93
Delhi,20200129,3.6922,13.94,68.64,1.27
Delhi,20200130,4.3414,12.01,61.52,2.38
Delhi,20200131,4.1878,11.83,57.77,1.81
Delhi,20200201,4.1652,12.39,53.14,1.35
Delhi,20200202,4.1856,11.46,59.41,2.04
Delhi,20200203,4.4395,12.08,55.59,1.49
Delhi,20200204,3.895,12.61,49.46,1.2
Delhi,20200205,3.8258,12.66,51.35,2.04
Delhi,20200206,4.0495,12.14,53.86,1.41
Delhi,20200207,4.0951,12.41,51.66,1.57
Delhi,20200208,4.2907,11.94,56.28,1.89
Delhi,20200209,4.2919,12.83,53.56,1.51
Delhi,20200210,4.2086,13.52,48.55,1.55
Delhi,20200211,4.1566,14.23,48.24,1.37
Delhi,20200212,4.2893,15.65,49.44,2.32
Delhi,20200213,4.7815,18.71,51.77,3.6
Delhi,20200214,5.1288,17.74,47.16,4.06
Delhi,20200215,5.4775,15.62,40.25,2.85
Delhi,20200216,5.3304,16.12,38.31,2.05
Delhi,20200217,5.1674,16.46,35.09,2.16
Delhi,20200218,5.4437,16.31,35.2,2.16
Delhi,20200219,4.1753,18.39,32.59,2.3
Delhi,20200220,4.3613,19.08,41.89,3.74
Delhi,20200221,1.7657,17.18,66.77,3.3
Delhi,20200222,3.4634,17.31,69.15,1.65
Delhi,20200223,3.5414,19.26,58.34,0.89
Delhi,20200224,4.3944,18.91,57.48,1.87
Delhi,20200225,4.439,18.45,54.38,1.66
Delhi,20200226,4.6152,18.91,58.02,1.5
Delhi,20200227,3.9708,18.11,62.36,1.56
Delhi,20200228,3.9799,19.58,61.01,2.91
Delhi,20200229,3.9017,19.94,66.2,2.61
Delhi,20200301,4.9493,20.47,65.14,1.48
Delhi,20200302,4.8799,20.93,53.4,1.14
Delhi,20200303,4.8048,21.0,48.75,1.48
Delhi,20200304,4.2782,21.23,52.15,1.48
Delhi,20200305,4.188,20.19,71.64,2.43
Delhi,20200306,3.3353,17.96,81.39,3.09
Delhi,20200307,3.3718,18.0,66.53,1.47
Delhi,20200308,5.6021,18.14,55.99,1.67
Delhi,20200309,5.9021,17.52,55.0,2.89
Delhi,20200310,5.1713,18.18,48.01,1.34
Delhi,20200311,4.7047,19.97,63.72,2.35
Delhi,20200312,5.2574,21.01,62.18,2.09
Delhi,20200313,5.6726,20.02,43.93,1.36
Delhi,20200314,3.7512,16.97,59.4,1.48
Delhi,20200315,5.4192,17.73,54.72,0.9
Delhi,20200316,4.7419,19.27,55.0,1.48
Delhi,20200317,6.1486,20.39,51.54,2.13
Delhi,20200318,5.9179,21.42,50.0,2.15
Delhi,20200319,6.0355,22.65,53.47,1.58
Delhi,20200320,5.101,23.72,50.62,0.97
Delhi,20200321,5.1722,24.72,44.77,0.81
Delhi,20200322,6.2294,24.18,45.67,1.74
Delhi,20200323,5.7492,23.77,48.31,1.37
Delhi,20200324,4.1554,24.48,48.4,1.34
Delhi,20200325,5.9969,25.36,48.98,2.13
Delhi,20200326,3.6838,24.0,54.76,2.63
Delhi,20200327,3.2815,22.54,63.23,2.21
Delhi,20200328,6.9158,22.74,55.7,2.32
Delhi,20200329,6.7966,23.1,45.17,3.21
Delhi,20200330,6.9031,22.86,46.48,2.92
Delhi,20200331,5.9753,23.69,47.46,2.64
Delhi,20200401,6.6914,25.71,49.42,1.82
Delhi,20200402,6.7226,24.36,46.16,3.13
Delhi,20200403,7.2497,23.15,40.75,2.95
Delhi,20200404,7.2694,23.96,39.21,2.5
Delhi,20200405,6.6307,25.81,39.12,1.53
Delhi,20200406,7.0678,26.62,34.49,2.46
Delhi,20200407,6.793,26.81,37.94,2.7
Delhi,20200408,6.9754,25.96,40.49,2.63
Delhi,20200409,6.7774,25.51,38.14,2.49
Delhi,20200410,6.8366,27.89,35.3,2.15
Delhi,20200411,6.8945,29.14,35.87,1.97
Delhi,20200412,7.0392,28.96,36.52,2.87
Delhi,20200413,6.7178,30.33,39.78,2.47
Delhi,20200414,5.6674,32.34,36.41,0.98
Delhi,20200415,6.1212,31.98,27.76,1.65
Delhi,20200416,6.4978,30.81,31.38,2.59
Delhi,20200417,6.2155,29.68,30.04,1.52
Delhi,20200418,6.0187,29.8,32.88,1.96
Delhi,20200419,6.6672,28.88,40.73,2.26
Delhi,20200420,3.6631,24.65,48.49,2.4
Delhi,20200421,6.5786,27.72,44.75,1.83
Delhi,20200422,7.237,28.48,35.47,1.74
